,Player,Tm,Pos,Rec,Rec Yds,Rec TDs,Rushes,Rush Yds,Rush TDs,Pass Yds,Pass TDs,Ints,Standard,Half PPR,PPR
62,Sterling Shepard,NYG,WR,49.0,483.0,2.2,7.0,36.0,0.7,0.0,0.0,0.0,69.30000000000001,93.80000000000001,118.30000000000001
63,Elijah Moore,NYJ,WR,41.0,543.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,75.30000000000001,95.80000000000001,116.30000000000001
64,Denzel Mims,NYJ,WR,41.0,535.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,73.9,94.4,114.9
65,Parris Campbell,IND,WR,39.0,514.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,71.2,90.7,110.2
66,Allen Lazard,GNB,WR,37.0,507.0,3.2,4.0,22.0,0.0,0.0,0.0,0.0,72.10000000000001,90.60000000000001,109.10000000000001
67,Josh Reynolds,TEN,WR,45.0,532.0,1.7,1.0,4.0,0.0,0.0,0.0,0.0,63.800000000000004,86.30000000000001,108.80000000000001
68,Amon-Ra St. Brown,DET,WR,37.0,494.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,68.60000000000001,87.10000000000001,105.60000000000001
69,Emmanuel Sanders,BUF,WR,39.0,462.0,3.2,1.0,8.0,0.0,0.0,0.0,0.0,66.2,85.7,105.2
70,Hunter Renfrow,LVR,WR,44.0,512.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,60.800000000000004,82.80000000000001,104.80000000000001
71,Marquez Valdes-Scantling,GNB,WR,24.0,509.0,4.4,2.0,10.0,0.0,0.0,0.0,0.0,78.30000000000001,90.30000000000001,102.30000000000001
72,Tyrell Williams,DET,WR,29.0,455.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,70.7,85.2,99.7
73,Rashod Bateman,BAL,WR,35.0,462.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,64.2,81.7,99.2
74,Russell Gage,ATL,WR,40.0,439.0,2.2,1.0,5.0,0.0,0.0,0.0,0.0,57.60000000000001,77.60000000000001,97.60000000000001
75,Jamison Crowder,NYJ,WR,34.0,408.0,3.5,1.0,8.0,0.0,0.0,0.0,0.0,62.6,79.6,96.6
76,Rondale Moore,ARI,WR,34.0,449.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,62.300000000000004,79.30000000000001,96.30000000000001
77,Jakobi Meyers,NWE,WR,42.0,520.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,52.6,73.6,94.6
78,Sammy Watkins,BAL,WR,35.0,458.0,2.0,1.0,8.0,0.0,0.0,0.0,0.0,58.6,76.1,93.6
79,Christian Kirk,ARI,WR,30.0,392.0,3.8,0.0,2.0,0.0,0.0,0.0,0.0,62.2,77.2,92.2
