"Rank","Player","Team","Bye","POS","ESPN","RTSports","Fantrax","FFC","AVG"
"208","Damien Williams","CHI","10","RB58","","184","179","181","198.3"
"209","Matt Gay","LAR","11","K12","129","226","352","207","229.0"
"210","Matt Prater","ARI","12","K13","183","227","373","179","233.4"
"211","Eric Ebron","PIT","7","TE26","145","201","268","","198.8"
"212","Darrel Williams","KC","12","RB59","207","215","274","182","229.4"
"213","Mason Crosby","GB","13","K14","206","244","349","216","235.8"
"214","Allen Lazard","GB","13","WR71","193","238","194","","211.5"
"215","Kadarius Toney","NYG","10","WR72","214","228","192","","212.8"
"216","Minnesota Vikings","DST","7","DST16","201","253","328","200","236.8"
"217","Green Bay Packers","DST","13","DST17","176","251","272","","214.8"
"218","Todd Gurley II","RB60","221","235","204","","215.0"
"219","Cam Newton","NE","14","QB30","212","223","246","","216.3"
"220","Robbie Gould","SF","6","K15","217","254","370","190","248.4"
"221","Xavier Jones","LAR","11","RB61","","202","190","168","186.7"
"222","Seattle Seahawks","DST","9","DST18","210","289","214","","222.3"
"223","Devontae Booker","NYG","10","RB62","222","197","301","174","223.5"
"224","Brandon McManus","DEN","11","K16","131","","257","","189.3"
"225","Christian Kirk","ARI","12","WR73","","175","150","","189.7"
"226","Jared Goff","DET","9","QB31","220","213","237","","225.8"
"227","Arizona Cardinals","DST","12","DST19","205","256","322","","229.3"
"228","Sony Michel","NE","14","RB63","","243","252","211","230.5"
"229","Graham Gano","NYG","10","K17","152","239","344","","236.3"
"230","Sammy Watkins","BAL","8","WR74","","220","286","201","232.3"
"231","Jeff Wilson Jr.","SF","6","RB64","","248","217","196","233.8"
"232","Javian Hawkins","ATL","6","RB65","","210","191","213","204.7"
"233","Mark Ingram II","HOU","10","RB66","","265","294","175","235.3"
"234","Sam Darnold","CAR","13","QB32","","176","216","","205.3"
"235","Salvon Ahmed","MIA","14","RB67","","230","205","183","206.0"
"236","Darrynton Evans","TEN","13","RB68","","214","221","191","208.7"
"237","Tim Tebow","JAC","7","TE27","208","","203","","213.7"
"238","Tennessee Titans","DST","13","DST20","","292","144","","221.7"
