season,team,player_name,gsis_id,snaps,team_snaps,games_played,targets,receptions,rec_yards,rec_tds,air_yards,rush_att,rush_yards,rush_tds,pass_att,pass_yards,pass_tds,fmb,int,standard_fp,ppr_fp,half_ppr_fp,air_yards_per_game,targets_per_game,snaps_per_game,rush_att_per_game,pass_att_per_game,standard_fp_per_game,half_ppr_fp_per_game,ppr_fp_per_game,lag_games_played_1,lag_air_yards_per_game_1,lag_targets_per_game_1,lag_snaps_1,lag_snaps_per_game_1,lag_rush_att_per_game_1,lag_pass_att_per_game_1
2013,BUF,marquise goodwin,00-0030068,313,839,12.0,32.0,17.0,283.0,3.0,640.0,3.0,13.0,0.0,0.0,0.0,0.0,1.0,0.0,45.599999999999994,62.599999999999994,54.099999999999994,53.333333333333336,2.6666666666666665,26.083333333333332,0.25,0.0,3.7999999999999994,4.508333333333333,5.216666666666666,,,,,,,
2013,KC,junior hemingway,00-0029311,312,1079,16.0,20.0,13.0,125.0,2.0,209.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,20.5,33.5,27.0,13.0625,1.25,19.5,0.0,0.0,1.28125,1.6875,2.09375,,,,,,,
2013,ARI,kerry taylor,00-0028606,303,662,10.0,34.0,22.0,229.0,1.0,239.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.900000000000002,50.900000000000006,39.900000000000006,23.9,3.4,30.3,0.0,0.0,2.89,3.9900000000000007,5.090000000000001,,,,,,,
2013,BAL,tandon doss,00-0028061,302,1047,15.0,36.0,19.0,305.0,0.0,374.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,28.5,47.5,38.0,24.933333333333334,2.4,20.133333333333333,0.0,0.0,1.9,2.533333333333333,3.1666666666666665,,,,,,,
2013,TEN,kenny britt,00-0027006,299,818,12.0,35.0,11.0,96.0,0.0,459.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.600000000000001,20.6,15.100000000000001,38.25,2.9166666666666665,24.916666666666668,0.0,0.0,0.8000000000000002,1.2583333333333335,1.7166666666666668,,,,,,,
2013,ATL,julio jones,00-0027944,296,343,5.0,59.0,41.0,580.0,2.0,620.0,1.0,7.0,0.0,0.0,0.0,0.0,2.0,0.0,66.7,107.7,87.2,124.0,11.8,59.2,0.2,0.0,13.34,17.44,21.54,,,,,,,
2013,OAK,jacoby ford,00-0027709,278,917,14.0,24.0,13.0,99.0,0.0,172.0,5.0,15.0,0.0,0.0,0.0,0.0,4.0,0.0,3.4000000000000004,16.4,9.9,12.285714285714286,1.7142857142857142,19.857142857142858,0.35714285714285715,0.0,0.24285714285714288,0.7071428571428572,1.1714285714285713,,,,,,,
2013,NYJ,greg salas,00-0028050,156,500,8.0,13.0,8.0,143.0,0.0,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.3,22.3,18.3,19.0,1.625,19.5,0.0,0.0,1.7875,2.2875,2.7875,,,,,,,
2013,BAL,deonte thompson,00-0029388,154,493,7.0,20.0,10.0,96.0,0.0,226.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.600000000000001,19.6,14.600000000000001,32.285714285714285,2.857142857142857,22.0,0.0,0.0,1.3714285714285717,2.085714285714286,2.8000000000000003,,,,,,,
2013,SF,marlon moore,00-0027356,152,874,14.0,15.0,7.0,62.0,0.0,173.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1000000000000005,14.100000000000001,10.600000000000001,12.357142857142858,1.0714285714285714,10.857142857142858,0.07142857142857142,0.0,0.5071428571428572,0.7571428571428572,1.0071428571428573,,,,,,,
2013,SF,mario manningham,00-0026235,148,378,6.0,23.0,9.0,85.0,0.0,207.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5,17.5,13.0,34.5,3.8333333333333335,24.666666666666668,0.0,0.0,1.4166666666666667,2.1666666666666665,2.9166666666666665,,,,,,,
2013,TEN,michael preston,00-0028362,60,467,7.0,7.0,5.0,37.0,2.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.7,20.7,18.2,7.428571428571429,1.0,8.571428571428571,0.0,0.0,2.242857142857143,2.6,2.957142857142857,,,,,,,
2013,IND,david reed,00-0027755,57,457,7.0,3.0,1.0,2.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.2,0.7,5.285714285714286,0.42857142857142855,8.142857142857142,0.0,0.0,0.028571428571428574,0.09999999999999999,0.17142857142857143,,,,,,,
2013,CLE,brian tyms,00-0028984,56,545,7.0,5.0,2.0,12.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2000000000000002,3.2,2.2,6.142857142857143,0.7142857142857143,8.0,0.0,0.0,0.17142857142857146,0.31428571428571433,0.4571428571428572,,,,,,,
2013,WAS,nick williams,00-0029848,54,360,5.0,11.0,3.0,15.0,0.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.5,2.5,1.0,20.8,2.2,10.8,0.0,0.0,-0.1,0.2,0.5,,,,,,,
2013,PIT,derek moye,00-0029108,53,440,7.0,6.0,2.0,20.0,1.0,122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,10.0,9.0,17.428571428571427,0.8571428571428571,7.571428571428571,0.0,0.0,1.1428571428571428,1.2857142857142858,1.4285714285714286,,,,,,,
2013,PHI,damaris johnson,00-0029435,53,895,13.0,3.0,2.0,14.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.5999999999999999,1.4000000000000001,0.40000000000000013,3.076923076923077,0.23076923076923078,4.076923076923077,0.0,0.0,-0.04615384615384614,0.030769230769230778,0.1076923076923077,,,,,,,
2013,JAX,jeremy ebert,00-0029552,48,324,5.0,8.0,3.0,18.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,4.8,3.3,9.2,1.6,9.6,0.0,0.0,0.36,0.6599999999999999,0.96,,,,,,,
2013,ARI,brittan golden,00-0029336,46,353,5.0,10.0,4.0,136.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.600000000000001,17.6,15.600000000000001,36.0,2.0,9.2,0.0,0.0,2.72,3.12,3.5200000000000005,,,,,,,
2013,CAR,armanti edwards,00-0027692,46,425,6.0,5.0,1.0,10.0,0.0,28.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.5,4.666666666666667,0.8333333333333334,7.666666666666667,0.16666666666666666,0.0,0.16666666666666666,0.25,0.3333333333333333,,,,,,,
2013,SF,kassim osgood,00-0021570,43,861,14.0,1.0,1.0,17.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7000000000000002,2.7,2.2,1.0,0.07142857142857142,3.0714285714285716,0.0,0.0,0.12142857142857144,0.15714285714285717,0.19285714285714287,,,,,,,
2013,NYJ,ben obomanu,00-0024463,41,214,3.0,1.0,1.0,8.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.8,1.3,2.0,0.3333333333333333,13.666666666666666,0.0,0.0,0.26666666666666666,0.43333333333333335,0.6,,,,,,,
2013,KC,chad hall,00-0027188,41,616,9.0,7.0,2.0,20.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,3.0,4.333333333333333,0.7777777777777778,4.555555555555555,0.0,0.0,0.2222222222222222,0.3333333333333333,0.4444444444444444,,,,,,,
2013,ATL,kevin cone,00-0028792,30,1077,16.0,1.0,1.0,12.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2000000000000002,2.2,1.7000000000000002,0.5,0.0625,1.875,0.0,0.0,0.07500000000000001,0.10625000000000001,0.1375,,,,,,,
2013,CHI,eric weems,00-0024535,24,1057,16.0,2.0,1.0,8.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.8,1.3,1.375,0.125,1.5,0.0,0.0,0.05,0.08125,0.1125,,,,,,,
2013,PHI,brad smith,00-0024318,20,418,8.0,2.0,2.0,27.0,0.0,11.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.9000000000000004,2.9000000000000004,1.9000000000000004,1.375,0.25,2.5,0.25,0.125,0.11250000000000004,0.23750000000000004,0.36250000000000004,,,,,,,
2013,SEA,percy harvin,00-0026998,19,52,1.0,1.0,1.0,17.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7000000000000002,2.7,2.2,29.0,1.0,19.0,0.0,0.0,1.7000000000000002,2.2,2.7,,,,,,,
2013,CLE,tori gurley,00-0028596,16,210,3.0,3.0,1.0,15.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,2.5,2.0,12.0,1.0,5.333333333333333,0.0,0.0,0.5,0.6666666666666666,0.8333333333333334,,,,,,,
2013,NYJ,saalim hakim,00-0029006,9,211,3.0,1.0,0.0,0.0,0.0,43.0,2.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004,14.333333333333334,0.3333333333333333,3.0,0.6666666666666666,0.0,-0.10000000000000002,-0.10000000000000002,-0.10000000000000002,,,,,,,
2013,JAX,lamaar thomas,00-0029856,7,128,2.0,3.0,2.0,31.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,5.1,4.1,13.5,1.5,3.5,0.0,0.0,1.55,2.05,2.55,,,,,,,
2013,SF,quinton patton,00-0030450,60,368,6.0,5.0,3.0,34.0,0.0,69.0,1.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,9.0,7.5,11.5,0.8333333333333334,10.0,0.16666666666666666,0.0,1.0,1.25,1.5,,,,,,,
2013,WAS,leonard hankerson,00-0028017,389,739,10.0,50.0,30.0,375.0,3.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.5,85.5,70.5,50.0,5.0,38.9,0.0,0.0,5.55,7.05,8.55,,,,,,,
2013,BUF,marcus easley,00-0027708,61,1161,16.0,5.0,2.0,13.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,3.3,2.3,2.5,0.3125,3.8125,0.0,0.0,0.08125,0.14375,0.20625,,,,,,,
2013,TB,eric page,00-0029098,64,1036,16.0,9.0,4.0,68.0,0.0,92.0,2.0,14.0,0.0,0.0,0.0,0.0,3.0,0.0,2.200000000000001,6.200000000000001,4.200000000000001,5.75,0.5625,4.0,0.125,0.0,0.13750000000000007,0.26250000000000007,0.38750000000000007,,,,,,,
2013,DAL,dwayne harris,00-0028114,147,804,13.0,14.0,9.0,80.0,2.0,97.0,1.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,16.6,25.6,21.1,7.461538461538462,1.0769230769230769,11.307692307692308,0.07692307692307693,0.0,1.276923076923077,1.623076923076923,1.9692307692307693,,,,,,,
2013,CAR,domenik hixon,00-0024345,145,977,15.0,9.0,7.0,55.0,1.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.5,18.5,15.0,4.666666666666667,0.6,9.666666666666666,0.0,0.0,0.7666666666666667,1.0,1.2333333333333334,,,,,,,
2013,CLE,travis benjamin,00-0029269,144,544,8.0,13.0,5.0,105.0,0.0,236.0,1.0,45.0,0.0,0.0,0.0,0.0,2.0,0.0,11.0,16.0,13.5,29.5,1.625,18.0,0.125,0.0,1.375,1.6875,2.0,,,,,,,
2013,JAX,stephen burton,00-0028174,133,264,4.0,13.0,8.0,76.0,0.0,75.0,1.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,14.7,10.7,18.75,3.25,33.25,0.25,0.0,1.675,2.675,3.675,,,,,,,
2013,NYJ,clyde gates,00-0028049,133,393,6.0,24.0,12.0,122.0,0.0,259.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.200000000000001,24.200000000000003,18.200000000000003,43.166666666666664,4.0,22.166666666666668,0.0,0.0,2.0333333333333337,3.0333333333333337,4.033333333333334,,,,,,,
2013,PHI,jeff maehl,00-0028543,129,1103,16.0,9.0,4.0,67.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.7,16.7,14.7,6.25,0.5625,8.0625,0.0,0.0,0.79375,0.91875,1.04375,,,,,,,
2013,CIN,andrew hawkins,00-0027918,117,598,8.0,18.0,12.0,199.0,0.0,121.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,18.200000000000003,30.200000000000003,24.200000000000003,15.125,2.25,14.625,0.25,0.0,2.2750000000000004,3.0250000000000004,3.7750000000000004,,,,,,,
2013,BAL,brandon stokley,00-0015754,115,436,6.0,21.0,13.0,115.0,0.0,174.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.5,24.5,18.0,29.0,3.5,19.166666666666668,0.0,0.0,1.9166666666666667,3.0,4.083333333333333,,,,,,,
2013,NE,austin collie,00-0027092,110,534,7.0,11.0,6.0,63.0,0.0,226.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.300000000000001,12.3,9.3,32.285714285714285,1.5714285714285714,15.714285714285714,0.0,0.0,0.9000000000000001,1.3285714285714287,1.7571428571428573,,,,,,,
2013,HOU,lestar jean,00-0028542,108,747,13.0,8.0,4.0,35.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,7.5,5.5,7.3076923076923075,0.6153846153846154,8.307692307692308,0.0,0.0,0.2692307692307692,0.4230769230769231,0.5769230769230769,,,,,,,
2013,CLE,josh cooper,00-0028930,101,357,5.0,14.0,9.0,60.0,0.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,15.0,10.5,16.4,2.8,20.2,0.0,0.0,1.2,2.1,3.0,,,,,,,
2013,NYG,louis murphy,00-0027089,99,899,14.0,13.0,6.0,37.0,1.0,124.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.699999999999999,13.7,10.7,8.857142857142858,0.9285714285714286,7.071428571428571,0.0,0.0,0.5499999999999999,0.7642857142857142,0.9785714285714285,,,,,,,
2013,TB,skye dawson,00-0029868,99,442,7.0,7.0,2.0,12.0,0.0,145.0,2.0,15.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7000000000000002,2.7,1.7000000000000002,20.714285714285715,1.0,14.142857142857142,0.2857142857142857,0.0,0.10000000000000002,0.24285714285714288,0.38571428571428573,,,,,,,
2013,SD,malcom floyd,00-0022414,88,136,2.0,11.0,6.0,149.0,0.0,177.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.9,20.9,17.9,88.5,5.5,44.0,0.0,0.0,7.45,8.95,10.45,,,,,,,
