season,team,player_name,gsis_id,snaps,team_snaps,games_played,targets,receptions,rec_yards,rec_tds,air_yards,rush_att,rush_yards,rush_tds,pass_att,pass_yards,pass_tds,fmb,int,standard_fp,ppr_fp,half_ppr_fp
2013,SF,kendall hunter,00-0028053,190,991,16.0,4.0,2.0,13.0,0.0,1.0,78.0,358.0,3.0,0.0,0.0,0.0,1.0,0.0,53.1,55.1,54.1
2013,OAK,jamize olawale,00-0029492,182,1036,16.0,11.0,7.0,63.0,0.0,49.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9,13.9,10.4
2013,KC,knile davis,00-0030280,170,1079,16.0,15.0,11.0,75.0,0.0,-17.0,70.0,242.0,4.0,0.0,0.0,0.0,3.0,0.0,49.7,60.7,55.2
2013,NO,mark ingram,00-0027966,169,784,11.0,11.0,7.0,68.0,0.0,1.0,78.0,386.0,1.0,0.0,0.0,0.0,1.0,0.0,49.400000000000006,56.400000000000006,52.900000000000006
2013,SD,fozzy whittaker,00-0029731,168,948,14.0,36.0,21.0,155.0,2.0,26.0,28.0,79.0,0.0,0.0,0.0,0.0,1.0,0.0,33.4,54.4,43.9
2013,DEN,ronnie hillman,00-0029683,157,677,10.0,14.0,12.0,119.0,0.0,33.0,55.0,218.0,1.0,0.0,0.0,0.0,2.0,0.0,35.7,47.7,41.7
2013,TB,mike james,00-0030391,155,626,8.0,11.0,10.0,43.0,0.0,-7.0,60.0,295.0,0.0,1.0,2.0,1.0,0.0,0.0,37.879999999999995,47.879999999999995,42.879999999999995
2013,TEN,shonn greene,00-0026899,155,748,11.0,8.0,6.0,39.0,0.0,-23.0,77.0,295.0,4.0,0.0,0.0,0.0,0.0,0.0,57.4,63.4,60.4
2013,PIT,felix jones,00-0026162,150,1052,16.0,13.0,9.0,63.0,0.0,21.0,48.0,184.0,0.0,0.0,0.0,0.0,1.0,0.0,22.700000000000003,31.700000000000003,27.200000000000003
2013,SD,ronnie brown,00-0023437,149,1110,16.0,8.0,8.0,60.0,0.0,5.0,45.0,157.0,1.0,0.0,0.0,0.0,0.0,0.0,27.700000000000003,35.7,31.700000000000003
