Player,Team,Value,Value Rank,ADP Rank,Diff in ADP and Value,FantasyPoints
Sam LaPorta,DET,0.5864989123295712,151.0,163.0,12.0,85.2
Hayden Hurst,CAR,0.5858001947093102,152.0,213.0,61.0,84.90000000000002
Skyy Moore,KC,0.585637160597916,153.0,131.0,-22.0,113.24000000000001
Noah Fant,SEA,0.584169853595368,154.0,283.0,129.0,84.19999999999999
DeVante Parker,NE,0.5823298971953477,155.0,284.0,129.0,111.82000000000001
Zach Ertz,ARI,0.5820038289725591,156.0,215.0,59.0,83.27
Hunter Renfrow,LV,0.5815147266383764,157.0,241.0,84.0,111.46999999999998
Cade Otton,TB,0.5792788302535413,158.0,297.5,139.5,82.09999999999998
Curtis Samuel,WAS,0.5771593868054166,159.0,245.5,86.5,109.60000000000002
Jonathan Mingo,CAR,0.5763675068357875,160.0,175.0,15.0,109.26000000000002
Tyler Conklin,NYJ,0.5734328928306914,161.0,229.5,68.5,79.59000000000002
Dawson Knox,BUF,0.571639517605355,162.0,207.5,45.5,78.82
K.J. Osborn,MIN,0.5709407999850941,163.0,183.5,20.5,106.92999999999999
Donovan Peoples-Jones,CLE,0.5699858859040708,164.0,170.0,6.0,106.52000000000001
Logan Thomas,WAS,0.5678664424559459,165.0,302.5,137.5,77.19999999999999
Tank Bigsby,JAC,0.5674937930584735,166.0,151.5,-14.5,85.26
Elijah Moore,CLE,0.5674705024711314,167.0,111.0,-56.0,105.44
Van Jefferson,LAR,0.567167724835685,168.0,211.0,43.0,105.30999999999999
Derek Carr,NO,0.5670885368387218,169.0,170.0,1.0,240.53799999999998
Gus Edwards,BAL,0.5660031954685834,170.0,192.0,22.0,84.62
Jayden Reed,GB,0.5659100331192153,171.0,237.0,66.0,104.76999999999998
Jelani Woods,IND,0.5648153755141397,172.0,286.5,114.5,75.89
Matthew Stafford,LAR,0.5621276417348692,173.0,196.0,23.0,238.408
Kenny Pickett,PIT,0.5618667871566384,174.0,154.5,-19.5,238.296
Isaiah Hodgins,NYG,0.56046003568118,175.0,229.5,54.5,102.43
Mike Gesicki,NE,0.5594585404254725,176.0,205.0,29.0,73.59000000000002
Michael Mayer,LV,0.5586899510431855,177.0,200.0,23.0,73.26
Jordan Love,GB,0.5572878576851951,178.0,167.0,-11.0,236.33
Rashid Shaheed,NO,0.5527275606836254,179.0,234.0,55.0,99.11
Robert Woods,HOU,0.5519356807139963,180.0,272.0,92.0,98.77
Jameson Williams,DET,0.5518890995393123,181.0,128.0,-53.0,98.75000000000001
Rashod Bateman,BAL,0.5492106819949787,182.0,136.0,-46.0,97.6
Jake Ferguson,DAL,0.5483023490886393,183.0,222.0,39.0,68.8
Chase Edmonds,TB,0.5482324773266133,184.0,268.0,84.0,76.99000000000001
Trey McBride,ARI,0.5452978633215173,186.0,274.0,88.0,67.50999999999999
Cordarrelle Patterson,ATL,0.544342949240494,187.0,176.5,-10.5,75.32
Taysom Hill,NO,0.5433414539847866,188.0,183.5,-4.5,66.67
John Metchie III,HOU,0.5431784198733924,189.0,212.0,23.0,95.00999999999998
Brock Purdy,SF,0.5415480787594501,190.0,162.0,-28.0,229.57200000000003
